Model,MSE,MAE,R2
tanh-1-8,0.20269298747591127,0.32761281920479374,0.5550916560000555
relu-1-8,0.18529299484309436,0.31331647263708573,0.5932844025981479
tanh-1-32,0.18252227237219418,0.3094384997718665,0.5993661006458326
relu-1-32,0.1850120329908186,0.3149800730400857,0.5939011100332684
tanh-1-128,0.18429826169869568,0.31031901058711686,0.5954678282879433
relu-1-128,0.1867828604810479,0.3149953693994424,0.5900141678356201
tanh-1-512,0.1829220745160738,0.3142541649346675,0.5984885403909064
relu-1-512,0.20220486345298694,0.3223614218761253,0.5561630815753071
tanh-2-8,0.4589381736616328,0.5413443795389529,-0.0073630340389654325
relu-2-8,0.1830302882782332,0.3128411317212317,0.5982510126583496
tanh-2-32,0.1886135208308385,0.3173163531214168,0.5859958933269942
relu-2-32,0.19325769029800224,0.320392020934618,0.5758020046650272
tanh-2-128,0.1824457665197879,0.31046025243183967,0.5995340299487861
relu-2-128,0.18887587025948377,0.3180855424316218,0.5854200399079814
tanh-2-512,0.18401396416571494,0.31505030700717424,0.5960918574967325
relu-2-512,0.19626533197250587,0.32407071867558024,0.5692002721955817
tanh-4-8,0.4571377056255791,0.5415889289498237,-0.003411031247350982
relu-4-8,0.19793955363194396,0.3247031539038086,0.5655253784793994
tanh-4-32,0.45796816897734166,0.5414734938476221,-0.005233886981959035
relu-4-32,0.19248823118648895,0.31586190238980244,0.577490956924018
tanh-4-128,0.18148016562468292,0.3100686512878082,0.60165351074857
relu-4-128,0.19425540811612296,0.3184229814128445,0.5736120276571048
tanh-4-512,0.18774142023102092,0.31474522622404444,0.5879101422534022
relu-4-512,0.18769484583075097,0.3135703973351363,0.5880123724270009
tanh-6-8,0.45672293806881037,0.5416680380473295,-0.0025006221151711028
relu-6-8,0.190529315900509,0.3154788950661895,0.5817907492689558
tanh-6-32,0.4562877621165665,0.5417905507709841,-0.0015454168331709983
relu-6-32,0.18509675592650224,0.31792379471319115,0.5937151443445525
tanh-6-128,0.18922792648014067,0.32513908934651,0.5846472813035628
relu-6-128,0.20905409711821393,0.32947470491382624,0.5411291070623656
tanh-6-512,0.1893262455072811,0.31612953191361054,0.584431472379468
relu-6-512,0.1862829665398849,0.3134018616979374,0.591111428220935
