Estimators,Percent,MSE
5,0.01,0.2090577609310322
10,0.01,0.1939849550886785
50,0.01,0.17579182528734646
100,0.01,0.17408157205173494
200,0.01,0.1734370728739235
5,0.1,0.21133309340248152
10,0.1,0.19362564924629422
50,0.1,0.17968695665011758
100,0.1,0.17723962859787523
200,0.1,0.17583602068944748
5,0.25,0.2111448885964953
10,0.25,0.19311303979516475
50,0.25,0.177695721954754
100,0.25,0.17703520263632594
200,0.25,0.1763675309114481
5,0.5,0.20659620634718262
10,0.5,0.19404081620812585
50,0.5,0.18078665037981234
100,0.5,0.17681225969097036
200,0.5,0.17757282149421813
5,1.0,0.2048173894324237
10,1.0,0.18953478436906662
50,1.0,0.17958515203081227
100,1.0,0.17978694029267214
200,1.0,0.17814690841554115
